rank,score,doc_id,filename,tipo_documento,page,chunk_id,chunk_text,question_id,question,categoria
1,0.5526236891746521,DOC_018,INT_PC_AC_Acta Seguimiento Ejecutivo_20240227.docx,ACTA,1,DOC_018_RCHUNK_005,"Cierre de las fases activas del proyecto: prestación de los servicios de gestión (por demanda y fijos), transferencia de conocimiento y gestión y monitoreo.
La Interventoría notificó al Consorcio, a través de comunicaciones escritas y reuniones con la gerencia del proyecto y los representantes legales, acerca de las falencias en la calidad de los entregables, en el cumplimiento y cierre de los compromisos, en la comunicación con sus equipos de desarrollo, en la planeación y seguimiento a los ciclos de desarrollo. En respuesta, el Consorcio estableció planes de acción que tampoco fueron cumplidos. 
La Interventoría explicó que se realizaron sesiones ejecutivas con la DIAN (DIGIT - Supervisión del contrato de servicios de consultoría 92872-025-2022 - DataR) y el Consorcio para conminar el cumplimiento de las obligaciones y que se lograra recomponer el contrato, de acuerdo con lo conversado en el último seguimiento ejecutivo con esta mesa (el 25 de octubre de 2024). En estas sesiones se buscaba que el equipo directivo del Consorcio tomara acciones de fondo sobre la ejecución del contrato, pero además establecer acuerdos de modificación al contrato, teniendo en cuenta las debilidades que se encontraron, por ejemplo: (i) en la definición de los ANS aplicables a la etapa de operación y (ii) dada la falta de detalle en las actividades de los componentes por demanda y fijo. Las partes avanzaron en un otrosí para modificar el contrato y establecer las acciones requeridas para conminar el cumplimiento de las obligaciones, con el objetivo de reaccionar de forma anticipada y no de forma reactiva al final de las entregas del Consorcio, como está establecido hoy en el contrato. Las mesas de trabajo para la negociación del otrosí tomaron más de tres meses, entre octubre de 2023 y enero de 2024. Si bien se lograron acuerdos, en los temas álgidos de discusión como la mejora de los ANS definidos en la Solicitud de Propuestas (SdP) o la inclusión de nuevos ANS, no se llegó a un consenso.",Q001,¿Qué incumplimientos contractuales fueron identificados en los documentos?,incumplimientos
2,0.5467413663864136,DOC_006,0332-23-INT_REV_Comunicado_4_situacion_actual_DATAR_21042023.pdf,COMUNICADO,26,DOC_006_RCHUNK_041,"A member firm of Ernst & Young Global Limited 
 
 
c. En sesiones de trabajo se ha indicado reiteradamente al Consorcio, sobre las 
falencias evidenciadas en el proceso de calidad interno, lo cual ha generado 
reprocesos en la revisión de la información asociada a temas de 
entendimiento, redacción, ortografía, forma y alineación de los contenidos 
mínimos con lo definido en el SDP. 
 
d. Las fechas comprometidas no se cumplen, a pesar de que se reitera en los 
seguimientos semanales y en los correos emitidos por la Interventoría. 
Asimismo, actualmente no se tiene una herramienta de gestión (actas y 
matriz de compromisos), que permita realizar seguimiento a aquellos 
compromisos que impactan directamente la completitud y liberación de los 
entregables, al igual que el alistamiento y puesta en producción de la 
herramienta. 
 
e. No se están atendiendo las observaciones realizadas por la DIAN y la 
Interventoría, ya sea en sesiones virtuales o presenciales, generando 
reprocesos y con ello, el incumplimiento de los tiempos definidos para el 
cierre de los productos. 
 
f. Los documentos aún no cuentan con el detalle técnico que se requiere para 
poder dar su cierre, dado que no se han realizado las profundizaciones 
requeridas por parte del Consorcio y la respectiva alineación de la 
información del documento a las características de la DIAN. Igualmente, no se 
tienen los insumos suficientes para dar cumplimiento al contenido mínimo 
definido en el SPD para la habilitación de los pagos, según lo definido 
contractualmente, ya que no se cuenta con la contratación de las 
herramientas complementarias de Azure y la implementación de las nuevas 
fuentes de información y la entrega de los dominios de información. 
 
g. No tener un plan de trabajo que considere los tiempos de revisión y ajustes de 
los entregables, generando tiempos limitados y desconocidos para la 
validación y modificación de los productos. 
 
h. Por parte del Consorcio no se han solicitado y desarrollado de manera 
oportuna las sesiones de validación y alineación de los Ola ´s requeridos con 
las áreas internas y los proyectos PETD (Multinube), lo cual ha implicado que",Q001,¿Qué incumplimientos contractuales fueron identificados en los documentos?,incumplimientos
3,0.54640793800354,DOC_031,CNS-xxxx-24 INT-DATAR-Comunicado 63-Incumplimiento compromisos otrosí2-202407.docx,COMUNICADO,1,DOC_031_RCHUNK_001,"Señores CNS-XXXX-24
Germán Morante / Édgar Arias 05 de julio 2024
Representación legal del Consorcio para el proyecto DATAR 
M&Q / PWC
Bogotá, D.C.
Oficio del Interventor del Contrato de Servicios 92872-025-2022, celebrado entre el Fondo DIAN para Colombia y el Consorcio M&Q – PWC – DATAR, relacionado con el incumplimiento de los compromisos acordados en las mesas de trabajo realizadas para la estructuración de la propuesta de otrosí 2 al contrato. 
Estimados Germán y Édgar:
De la manera más atenta, en calidad de Interventor del contrato de la referencia y en ejercicio de nuestras funciones, nos permitimos expresar nuestra seria preocupación y llamar su atención respecto al incumplimiento de los compromisos acordados como producto de las mesas de trabajo ejecutadas para realizar la estructuración de la propuesta de otrosí 2 del contrato, especialmente los compromisos relacionados con: 
Asistencia a la mesa de trabajo presencial convocada por la DIAN el 27/06/2024.
Entrega de documento con la propuesta actualizada para el componente de servicios fijos, acordada para el 3/07/2024, posterior acuerdo para el 04/07/2024 y entregada finalmente el 05/07/2024.
Preparación previa de los temas a tratar en las mesas de trabajo por parte del Consorcio. Sobre este punto en especificó se evidenció una preparación deficiente, lo que resulto en que las sesiones se enfocarán más en resolver dudas del Consorcio que en alcanzar acuerdos para la propuesta de otrosí 2 del contrato. 
Entrega de propuesta de definición de producto utilizable final y ANS para el 05/07/2024 en horas de la mañana, dado que se requería como insumo para la sesión “Virtual - Mesa de Trabajo DataR” convocada para el 5/07/2024.
Por parte del Consorcio no se realizó la entrega oportuna y en el tiempo de los anteriores compromisos, los cuales son insumos que debían suministrarse a la Unidad Coordinadora del Programa - UCP el día de hoy 05/07/2024, para adelantar el borrador del otrosí 2 del Contrato. Este incumplimiento afectó directamente el flujo de trabajo toda vez que debió realizarse la cancelación de la mesa de trabajo del 05/07/2024, incumpliendo los compromisos de las sesiones de trabajo.",Q001,¿Qué incumplimientos contractuales fueron identificados en los documentos?,incumplimientos
4,0.5438715815544128,DOC_018,INT_PC_AC_Acta Seguimiento Ejecutivo_20240227.docx,ACTA,1,DOC_018_RCHUNK_018,"Luego explicó que se avanzó en el análisis de la terminación anticipada del contrato por mutuo acuerdo porque no se cuenta con elementos desde ninguna circunstancia para decidir más allá. El Consorcio solicitó un plan de entrega de requerimientos para priorizar su entrega, respecto de lo cual la respuesta fue que eso no estaba contemplado así en el contrato. Adicionalmente, la Interventoría ha advertido acerca de la baja calidad de los productos elaborados por el Consorcio y de su falta de capacidad para atender los requerimientos por demanda a la velocidad requerida por la DIAN, por lo que no se alcanzarían a ejecutar todos los recursos en el tiempo que queda del contrato. Lograr la terminación permitiría mitigar el riesgo de incumplimiento del contrato.
Reitera que los “incumplimientos” presentados por la Interventoría en el seguimiento no son elementos que permitan declarar un incumplimiento del contrato por parte del Consorcio, y que es necesario tener en cuenta las vulnerabilidades de la DIAN (la no adquisición de las herramientas complementarias o entrega de una justificación relacionada con la no adquisición, antes de julio de 2023 según lo acordado en el otrosí 1 del contrato; así como debilidades de la documentación contractual relacionadas con la definición de ANS aplicables a la etapa de operación y en la falta de detalle en las actividades de los componentes por demanda y fijo) y el esquema de ejecución que se asumió cuando se firmó el contrato. No es que existieran incumplimientos que no se hubieran declarado, sino que no se tenían los elementos para declarar un incumplimiento, de acuerdo con lo revisado con la Interventoría, el supervisor del contrato y el Contratista.
Respecto de las inquietudes de qué pasará en adelante con el proyecto, explicó que para terminar un contrato se necesita: (i) el análisis interno del contrato, que se viene adelantando en mesas de trabajo con la DIGIT y la Interventoría, (ii) el análisis de la DIGIT que viene haciendo con el Consultor, para determinar las causales de la terminación por mutuo acuerdo, más allá de que las partes han convenido que es lo mejor, y (iii) el análisis de la UCP.",Q001,¿Qué incumplimientos contractuales fueron identificados en los documentos?,incumplimientos
5,0.5410523414611816,DOC_018,INT_PC_AC_Acta Seguimiento Ejecutivo_20240227.docx,ACTA,1,DOC_018_RCHUNK_020,"Frente a la cesión del contrato, existen limitaciones desde el punto de vista jurídico que tendrían que ser analizados con la UCP, dadas las restricciones de la política del Banco, antes de que se tomen decisiones en ese sentido, la UCP solicita que se revise con la DIGIT este escenario.
La Directora de la Interventoría expresó que la Interventoría no puede dejar de informar los aspectos en la ejecución que desde el punto de vista técnico no se cumplieron por parte del Contratista. También explicó que las razones por las cuales no se puede hablar de incumplimientos contractuales no es porque el contratista haya cumplido, sino porque existen falencias en el contrato (presentadas en seguimientos ejecutivos previos, así como en los informes, comunicados y concetos de la Interventoría) que no permiten declarar un incumplimiento. No se puede declarar el incumplimiento no porque el Contratista esté ejecutando correctamente el proyecto y se hayan cumplido los compromisos actividades planeadas, sino porque el contrato no cuenta con las herramientas para declararlo en esta etapa en particular. En la etapa anterior sí se contaba con elementos, pero no fue posible por definiciones que hizo la DIAN, como se explicó previamente. 
La DIAN (DIGIT – Dirección y Supervisión del contrato de servicios de consultoría 92872-025-2022 - DataR) cuenta con la documentación del caso, con informes, conceptos y comunicados de la Interventoría, incluso desde abril de 2023, cuando se realizó una reunión, citada por la DIAN, en la que también se habló de la terminación del contrato. 
La Interventoría puede participar en las mesas de trabajo planteadas por la Directora de Gestión Corporativa y Ordenadora del Gasto, si así es requerido. 
La Directora de Gestión Corporativa y Ordenadora del Gasto preguntó cuál es la recomendación de la Interventoría.",Q001,¿Qué incumplimientos contractuales fueron identificados en los documentos?,incumplimientos
1,0.5666815042495728,DOC_006,0332-23-INT_REV_Comunicado_4_situacion_actual_DATAR_21042023.pdf,COMUNICADO,9,DOC_006_RCHUNK_017,"matriz de compromisos), que permita realizar seguimiento a aquellos 
compromisos que impactan directamente la completitud y liberación de los 
entregables, al igual que el alistamiento y puesta en producción de la 
herramienta. 
 
f. No se están atendiendo las observaciones realizadas por la DIAN y la 
Interventoría, ya sea en sesiones virtuales o presenciales, generando",Q002,¿Qué compromisos aparecen como vencidos o no cumplidos?,incumplimientos
2,0.5621060132980347,DOC_029,CNS-0418-24 INT-DATAR-Comunicado 59-Resultado Review S9-202405.docx,COMUNICADO,1,DOC_029_RCHUNK_004,"El Consorcio reportó 1 HU “resuelta” y 9 HU “abiertas”.
Sobre el avance de las tareas, se reportaron 20 de 51 tareas en estado “cerrado”, representando el 39% de avance.
Fuente: Estado de las HU al cierre del sprint 9 del 17/05/2024
Considerando el no cierre del sprint, durante la sesión se acordaron los siguientes compromisos:
Liberación de las HU asociadas con reglas de negocio EyS y script de pruebas el 02/05/2024 y 06/05/2024.
Liberación de un plan con los pasos metodológicos y escenarios de validación de las reglas de negocio.
Situaciones evidenciadas en el sprint 9:
Falta de descripciones y criterios de aceptación completos: Se observó que no todas las historias de usuario comprometidas tenían descripciones y criterios de aceptación completos durante la reunión de planificación.
Persisten las discrepancias entre lo comprometido y lo efectivamente finalizado: A pesar de que el consorcio garantizó la realización de una cantidad específica de Historias de Usuario (HU) durante la planeación del sprint 9, no se logró completar y entregar todas las HU antes del cierre del sprint para revisión de la DIAN e Interventoría.
Tareas retrasadas y productividad baja: los hechos informados anteriormente reafirman el atraso en el cierre de las historias de usuario. Incluso en el punto medio de la ejecución del sprint 9, los avances no correspondían a lo esperado.
Falencias en el cierre oportuno: persisten las falencias en la definición de una estrategia que permita lograr el cierre de las historias de usuario (HU), previa revisión y aprobación de la documentación y/o artefactos por parte de la DIAN e Interventoría.
Inoportunidad en el cierre de compromisos: tras evidenciar la no entrega de las HU comprometidas, se establecieron compromisos finales de cierre por parte del Consorcio; esto incluía la entrega de las HU restantes al finalizar. Sin embargo, el Consorcio no dio cumplimiento al compromiso adquirido. 
Posible incumplimiento de la fecha de cierre del requerimiento: a la fecha se cuenta con HU abiertas desde los sprints 4 al 8, representando atrasos que ponen en riesgo tanto la ejecución del sprint 9, como la entrega del requerimiento el 11/07/2024.",Q002,¿Qué compromisos aparecen como vencidos o no cumplidos?,incumplimientos
3,0.5536223649978638,DOC_031,CNS-xxxx-24 INT-DATAR-Comunicado 63-Incumplimiento compromisos otrosí2-202407.docx,COMUNICADO,1,DOC_031_RCHUNK_002,"Es imperativo recordar que los acuerdos y plazos establecidos no son meramente indicativos, sino que constituyen obligaciones contractuales cuyo cumplimiento es esencial para la continuidad y el éxito del proyecto, la falta de adherencia a estos compromisos pone en riesgo la continuación del proyecto.
Esperamos que este llamado de atención sea recibido con la seriedad que amerita y que se tomen las acciones necesarias para rectificar la situación de manera inmediata. La colaboración y el compromiso de todas las partes son fundamentales para mantener la confianza y asegurar el éxito conjunto.
Agradecemos su atención al asunto.
Cordialmente.
Patricia Patiño
Associate Partner
Ernst & Young S.A.S.",Q002,¿Qué compromisos aparecen como vencidos o no cumplidos?,incumplimientos
4,0.5502136945724487,DOC_006,0332-23-INT_REV_Comunicado_4_situacion_actual_DATAR_21042023.pdf,COMUNICADO,40,DOC_006_RCHUNK_067,"A member firm of Ernst & Young Global Limited 
 
 
6.4. Con relación al plan de choque propuesto por el Consorcio el 02/01/2023 y 
ajustado el 11/01/2023, en respuesta a la sesión de requerimiento realizada 
el 21/12/2022; se requiere que Consorcio informe las acciones a adelantar 
para el cierre de los compromisos que se relacionan a continuación. 
Considerando que, a la fecha no se evidencia la ejecución o cierre de las 
siguientes mejoras y que estas cuentan con fechas de compromiso vencidas: 
 
Mejora 
Fecha esperada 
de cierre 
Estado 
Observación 
Hacer efectivo el gobierno del 
proyecto, en el que se 
promueven espacios de 
seguimiento y control 
a nivel estratégico de forma 
oportuna 
- 
 
No se ha visto la mejora propuesta, toda vez que no se ha 
socializado cuáles serán los integrantes que participarán, 
cuál va a ser la frecuencia y en qué fecha será el inicio del 
Comité de dirección Estratégica propuesto por el Consorcio. 
Fortalecer como Consorcio los 
aspectos relacionados con el 
proceso de aseguramiento de la 
calidad de los entregables a 
liberar, con el fin de garantizar 
su integralidad, profundidad y 
alineación con los requisitos 
contractuales y criterios de 
aceptación de entregables. 
- 
 
Si bien se han asignado recursos específicos por parte del 
Consorcio para asegurar la calidad de los productos, los 
documentos continúan teniendo fallas en temas de forma, 
ortografía, contenido, cumplimiento de lo definido en el SDP 
y la matriz de entregables, forma, redacción, entre otros, al 
igual que no se ha visto la aplicación efectiva de los 
procedimientos de calidad del Consorcio, para los 
documentos que han sido liberados 
Reforzar la articulación entre 
las empresas integrantes del 
Consorcio, así como la 
responsabilidad 
solidaria y mancomunada de las 
mismas. 
11/01/2023 
 
No se ha visto la mejora propuesta, toda vez que se percibe 
que las firmas que hacen parte del Consorcio (M&Q y PWC), 
trabajan de manera separada y no se ven como una única 
representación de cara al proyecto, incluyendo la ejecución 
de sus procesos internos de calidad. 
Liberar los entregables en las 
fechas establecidas en el 
cronograma. 
13/01/2023",Q002,¿Qué compromisos aparecen como vencidos o no cumplidos?,incumplimientos
5,0.5497260093688965,DOC_006,0332-23-INT_REV_Comunicado_4_situacion_actual_DATAR_21042023.pdf,COMUNICADO,26,DOC_006_RCHUNK_041,"A member firm of Ernst & Young Global Limited 
 
 
c. En sesiones de trabajo se ha indicado reiteradamente al Consorcio, sobre las 
falencias evidenciadas en el proceso de calidad interno, lo cual ha generado 
reprocesos en la revisión de la información asociada a temas de 
entendimiento, redacción, ortografía, forma y alineación de los contenidos 
mínimos con lo definido en el SDP. 
 
d. Las fechas comprometidas no se cumplen, a pesar de que se reitera en los 
seguimientos semanales y en los correos emitidos por la Interventoría. 
Asimismo, actualmente no se tiene una herramienta de gestión (actas y 
matriz de compromisos), que permita realizar seguimiento a aquellos 
compromisos que impactan directamente la completitud y liberación de los 
entregables, al igual que el alistamiento y puesta en producción de la 
herramienta. 
 
e. No se están atendiendo las observaciones realizadas por la DIAN y la 
Interventoría, ya sea en sesiones virtuales o presenciales, generando 
reprocesos y con ello, el incumplimiento de los tiempos definidos para el 
cierre de los productos. 
 
f. Los documentos aún no cuentan con el detalle técnico que se requiere para 
poder dar su cierre, dado que no se han realizado las profundizaciones 
requeridas por parte del Consorcio y la respectiva alineación de la 
información del documento a las características de la DIAN. Igualmente, no se 
tienen los insumos suficientes para dar cumplimiento al contenido mínimo 
definido en el SPD para la habilitación de los pagos, según lo definido 
contractualmente, ya que no se cuenta con la contratación de las 
herramientas complementarias de Azure y la implementación de las nuevas 
fuentes de información y la entrega de los dominios de información. 
 
g. No tener un plan de trabajo que considere los tiempos de revisión y ajustes de 
los entregables, generando tiempos limitados y desconocidos para la 
validación y modificación de los productos. 
 
h. Por parte del Consorcio no se han solicitado y desarrollado de manera 
oportuna las sesiones de validación y alineación de los Ola ´s requeridos con 
las áreas internas y los proyectos PETD (Multinube), lo cual ha implicado que",Q002,¿Qué compromisos aparecen como vencidos o no cumplidos?,incumplimientos
1,0.5315122604370117,DOC_006,0332-23-INT_REV_Comunicado_4_situacion_actual_DATAR_21042023.pdf,COMUNICADO,37,DOC_006_RCHUNK_063,"17/02/2023 
Con atraso 
 
6. Desarrollo de proyecto 
 
Durante la ejecución del proyecto, se han identificado en las diferentes sesiones 
de trabajo, los siguientes temas transversales asociados al Consorcio, que han 
contribuido al reiterado incumplimiento de las obligaciones y compromisos, 
afectando el desarrollo y fluidez del proyecto: 
 
6.1. De acuerdo con lo definido en la propuesta de servicios en el capítulo de 
“INTRODUCCIÓN”, en el ítem de “Calidad”, se indica que: “Está demostrada",Q003,¿Qué riesgos de retraso se evidencian en el corpus?,riesgos
